Probdriverdeath,carleft_impdeath,carfront_impdeath,so_lowerhingepillarmaxcm,so_footrestcm,so_lefttoepancm,so_brakepedalcm,so_parkingbrakecm,so_rockerpanellateralaveragecm,so_steeringcolumn,so_upperhingepillarmaxcm,so_upperdashcm,so_lowerinstrumentpanelcm,so_headheadhic15,so_necknecktensionkn,so_maximumnij,so_kneethighhipinjuryrisk,so_maximumtibiaindex,so_tibiaaxialforcekn,so_footaccelerationg,mo_footwellintrusionfootrestcm,mo_brakepedalcm,mo_apillarrearwardmovementcm,mo_headheadhic15,mo_necknecktensionkn,mo_maximumnij,mo_femurkn,mo_kneedisplacementmm,mo_maximumtibiaindex,mo_tibiaaxialforcekn,mo_footaccelerationg,mo_instrpanelrearmovement,mo_footwellintrusion,sd_bpillarto,sd_headhic15,sd_necknecktensionkn,sd_compressionkn,sd_torsomaximumdeflection,sd_averagedeflectionmm,sd_maximumdeflectionratems,sd_maximumviscouscriterionms,sd_pelvisiliacforcekn,sd_acetabulumforcekn,sd_combinedforcekn,sd_leftfemurleftfemurlmforcekn,sd_lmmomentnm,sd_apmomentnm,rf_curbweight,rf_peakforce,rf_strengthtoweightratio,rolloverpossibilityAvg,rolloverpossibilityAvg,med_lengthins,med_widthins,med_heighthins,med_weightlbs,med_epa_combined,RatingsMissing_SO,RatingsMissing_SD,RatingsMissing_MO,RatingsMissing_RF,RatingsMissing_SD_By_Year_FE,RatingsMissing_SO_By_Year_FE,RatingsMissing_MO_By_Year_FE,RatingsMissing_RF_By_Year_FE,RolloverPossYearMissing,floor_iihs_overall_sd,floor_iihs_overall_mo,floor_iihs_overall_so_driver,floor_iihs_overall_rf
1.60e-06,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,4,1,275,.7,.21,.85,0,3.65,.505,69.5,0,5.666667,-13.5,298,.8,.2,30,26,2.67,.41,1.4,3,4.1,.8,40,147,2879,16226,5.64,.107,.107,179.1,70.6,55.6,2934.5,33.75,1,0,0,0,"20130","20131","20130","20130","0",4,4,-99,4
9.04e-06,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,4,1,275,.7,.21,.85,0,3.65,.505,69.5,0,5.666667,-13.5,298,.8,.2,30,26,2.67,.41,1.4,3,4.1,.8,40,147,2879,16226,5.64,.107,.107,179.1,70.6,55.6,2934.5,33.75,1,0,0,0,"20140","20141","20140","20140","0",4,4,-99,4
5.82e-06,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,-13.5,298,.8,.2,30,26,2.67,.41,1.4,3,4.1,.8,40,147,2879,16226,5.64,.107,.107,179.1,70.6,55.6,2910,28.950001,1,0,0,0,"20150","20151","20150","20150","0",4,4,-99,4
3.23e-06,0,1,9,12,4,4,,7,2,4,5,4,264,,0,0,.715,1.35,52,5,2,0,230,1.1,.25,.1,0,2.3,.445,65,0,6,-15.5,414,.8,0,38,26,3.22,.43,1.2,2.1,3.1,.7,58,159,2879,16226,5.64,.107,.107,181.9,70.6,55.6,3093,28.950001,0,0,0,0,"20160","20160","20160","20160","0",4,4,4,4
0,0,0,9,12,4,4,,7,2,4,5,4,264,,0,0,.715,1.35,52,5,2,0,230,1.1,.25,.1,0,2.3,.445,65,0,6,-15.5,414,.8,0,38,26,3.22,.43,1.2,2.1,3.1,.7,58,159,2879,16226,5.64,.107,.107,181.9,70.6,55.6,3093,29.5,0,0,0,0,"20170","20170","20170","20170","0",4,4,4,4
2.87e-06,1,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,9,17,0,238,1.3,.27,1.45,1,1.6,.325,51.5,1,19,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.151,.151,188.7,77,68.7,4451,19.700001,1,1,0,1,"20051","20051","20050","20051","0",-99,4,-99,-99
3.11e-06,0,6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,9,17,0,238,1.3,.27,1.45,1,1.6,.325,51.5,1,19,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.151,.151,188.7,77,68.7,4471,19.700001,1,1,0,1,"20061","20061","20060","20061","0",-99,4,-99,-99
1.16e-06,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,4,0,199,1,.25,1.1,1,2.25,.415,52.5,1,10,-16,133,1.2,0,21,19,2.97,.19,3,1.8,4.6,.3,79,-40,-99,-99,-99,.14,.14,190.7,78.5,66.2,4539,19.25,1,0,0,1,"20070","20071","20070","20071","0",4,4,-99,-99
2.49e-06,0,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,4,0,199,1,.25,1.1,1,2.25,.415,52.5,1,10,-16,133,1.2,0,21,19,2.97,.19,3,1.8,4.6,.3,79,-40,-99,-99,-99,.14,.14,190.7,78.5,68.2,4539,17.25,1,0,0,1,"20080","20081","20080","20081","0",4,4,-99,-99
3.05e-06,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,4,0,199,1,.25,1.1,1,2.25,.415,52.5,1,10,-16,133,1.2,0,21,19,2.97,.19,3,1.8,4.6,.3,79,-40,-99,-99,-99,.14,.14,190.7,78.5,68.2,4535,17.25,1,0,0,1,"20090","20091","20090","20091","0",4,4,-99,-99
1.60e-06,0,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,4,0,199,1,.25,1.1,1,2.25,.415,52.5,1,10,-16,151,1,.7,34,30,4.16,.66,2.1,1.8,3.6,.5,27,49,-99,-99,-99,.14,.14,191.6,78.5,68.2,4550,18.25,1,0,0,1,"20100","20101","20100","20101","0",4,4,-99,-99
1.95e-06,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,4,0,199,1,.25,1.1,1,2.25,.415,52.5,1,10,-16,151,1,.7,34,30,4.16,.66,2.1,1.8,3.6,.5,27,49,-99,-99,-99,.14,.14,191.6,78.5,68.2,4550,18.25,1,0,0,1,"20110","20111","20110","20111","0",4,4,-99,-99
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,4,0,199,1,.25,1.1,1,2.25,.415,52.5,1,10,-16,151,1,.7,34,30,4.16,.66,2.1,1.8,3.6,.5,27,49,4587,20474,4.46,.14,.14,191.6,78.5,68.2,4550,18.25,1,0,0,0,"20120","20121","20120","20120","0",4,4,-99,4
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,4,0,199,1,.25,1.1,1,2.25,.415,52.5,1,10,-16,151,1,.7,34,30,4.16,.66,2.1,1.8,3.6,.5,27,49,4587,20474,4.46,.14,.14,191.6,78.5,68.2,4550,18.25,1,0,0,0,"20130","20131","20130","20130","0",4,4,-99,4
1.44e-06,0,2,4,10,9,9,8,3,1,3,3,5,171,1.2,.2,0,.55,2,87,1,9,0,121,1,.22,.55,2,2.15,.485,88.5,.5,4.333333,-16.5,180,1.3,.3,36,29,3.53,.4,3.1,1,3.8,.2,23,30,4237,24871,5.87,.1595,.1595,193.6,77.2,66.7,4025,23.6,0,0,0,0,"20140","20140","20140","20140","0",4,4,4,4
1.45e-06,0,0,4,10,9,9,8,3,1,3,3,5,171,1.2,.2,0,.55,2,87,1,9,0,121,1,.22,.55,2,2.15,.485,88.5,.5,4.333333,-16.5,180,1.3,.3,36,29,3.53,.4,3.1,1,3.8,.2,23,30,4237,24871,5.87,.164,.164,193.6,77.2,66.7,4103,23.6,0,0,0,0,"20150","20150","20150","20150","0",4,4,4,4
0,0,0,4,10,9,9,8,3,1,3,3,5,171,1.2,.2,0,.55,2,87,1,9,0,121,1,.22,.55,2,2.15,.485,88.5,.5,4.333333,-16.5,180,1.3,.3,36,29,3.53,.4,3.1,1,3.8,.2,23,30,4237,24871,5.87,.164,.164,193.6,77.2,67.6,3960,22.6,0,0,0,0,"20160","20160","20160","20160","0",4,4,4,4
0,0,0,4,10,9,9,8,3,1,3,3,5,171,1.2,.2,0,.55,2,87,1,9,0,121,1,.22,.55,2,2.15,.485,88.5,.5,4.333333,-16.5,180,1.3,.3,36,29,3.53,.4,3.1,1,3.8,.2,23,30,4237,24871,5.87,.164,.164,193.6,77.2,67.6,4001,22.6,0,0,0,0,"20170","20170","20170","20170","0",4,4,4,4
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,174.2,71.3,46.1,3153,20.15,1,1,1,1,"20051","20051","20051","20051","2005",-99,-99,-99,-99
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,176,87.3,47.8,3803,21.450001,1,1,1,1,"20171","20171","20171","20171","2017",-99,-99,-99,-99
8.28e-07,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,3,1,220,.1,.22,1.1,3.5,3.1,.67,73,0,8,-11.5,167,1.2,0,25,20,2.66,.35,4.4,1.2,5.6,.6,145,41,3911,11325,2.9,.155,.155,180.7,73.6,65.2,3924,20.799999,1,0,0,0,"20070","20071","20070","20070","0",4,4,-99,2
